Actual Price,Predicted Price (Linear Regression)
342013,322870.7621594593
227626,158451.1607608907
113914,131526.93000242487
802129,794759.853919711
411087,449763.27346228436
204067,273961.9623706527
277733,363635.0978658423
312586,336072.33359184116
469890,404785.40382261947
328022,387458.46882894635
219335,321313.4082909487
122481,324707.6092303507
457769,404912.5711323656
162771,234656.78098165616
177232,216584.6631560959
518699,549656.3722681738
206043,265096.3485474214
433857,356261.47880459204
374181,306485.58076900616
248541,245813.80810007453
108535,199307.26368371025
188251,233419.03935997188
141105,106291.05301258713
365319,398247.2277277447
770240,311508.6421093419
361012,400053.58907528967
275710,295483.8772071339
598430,309593.2174667567
145380,93410.22360242158
178888,164970.54807730764
387178,503131.5875456147
288719,333181.57821014896
196797,207337.83766388148
372628,350502.59586682916
161927,237276.11704888195
256614,227991.45039805025
188839,179883.72457507625
477486,401058.0549103841
394813,402584.4734525569
429921,390312.086220596
294574,403239.0711004101
137765,123181.34449199587
818816,324036.9596976973
156730,10196.427674531937
287539,375469.89366385713
565648,414944.1689478494
82643,74827.9918073453
230666,251188.00585420802
246396,303485.10101211816
250972,267755.9921754226
105619,49265.31711842492
140983,258869.8112179041
292355,291396.3988795467
240106,382283.23778966814
387587,455324.1716498174
211100,137181.2905907482
189494,232356.54272463545
414525,402241.09947941825
241094,393378.14819784835
125998,153854.9309470728
169025,131537.2148833312
313550,398234.8912942037
159843,72341.33923833445
321825,357536.4429246448
395993,509939.2178965993
214594,177172.56471037865
413229,433357.97840596363
160027,131158.16945926845
799950,592670.7338199429
498895,488285.00640539825
169013,246859.20308161527
180356,147497.87928888574
736741,312585.173033759
406757,510333.9018344544
268204,374895.73091354966
338590,306485.4453006722
247818,257241.1463211216
207952,380356.29765706137
150519,366928.3457006067
401761,429122.842200432
473659,394860.0232056007
92647,31925.829283572733
211970,208747.82657277584
576272,500682.8345947899
176816,277846.98497621715
524868,406622.9862672761
233873,169908.71208971366
509666,383646.1493053213
608411,407118.1424360052
218737,283409.2252641842
121096,324594.57767339796
138960,69678.08623279259
120426,147776.98332275078
482733,379453.3759739548
233924,163281.35803860426
192322,258239.44996238127
279870,377619.99697629735
272872,322773.0934588611
153852,70420.44076291844
280870,360435.53760287166
538120,432657.2686163448
322322,254843.93801210076
674672,409774.0300874077
55425,63684.26963998005
1259725,458715.6370921992
141286,247765.125214044
357918,265330.597895883
257276,301131.9039959498
736489,523885.62270185724
288556,410314.5214485489
138977,258894.0322658196
158659,138465.59122616425
233449,259061.55067839846
342178,326164.86265119165
68494,77640.35176651552
395374,497126.9410349764
199603,155591.50036022812
250675,337785.0646822192
301585,306507.73957740143
301202,326091.1364726275
179444,106493.12303122878
189153,196865.27876836061
279119,475905.88583156466
264662,331653.44767118245
250480,331711.8005790189
295174,348599.99543474615
254281,248916.36610429361
728693,544719.2164334133
125554,296065.1154438332
506250,557274.451185435
178494,324090.18285147846
188268,190606.14122409746
137261,138593.9039023295
397360,456592.1492522843
280822,487851.8389943354
632614,576214.5713781342
430742,377048.1315691471
94674,49819.17174748331
174796,178911.3797049597
420874,386725.0839179568
232297,328705.2082290426
366351,331680.9114203565
355363,404918.16244176775
610256,429025.6949449666
470862,460618.4494170584
489625,357768.6194038354
222005,242608.4281475693
139243,201464.39520901814
755143,487450.29675068334
329660,317443.91519352794
467825,387530.427808363
287143,384530.9526782669
131763,171891.29407651722
373890,437929.7542729415
183199,322218.7032156773
205246,178604.03822703287
391691,299353.75555691496
165708,118815.6619965136
489068,420406.84177296236
225807,299225.63810027763
146554,151934.0546291992
403080,393589.6360506974
243904,191417.503281001
255883,216080.9350292422
412969,375621.09583543986
179034,147771.93064820394
212152,275232.1525817141
237854,213778.50295533612
189470,165277.34801760316
