Actual Price,Predicted Price (LR),Predicted Price (RF)
280870,360435.53760287166,275784.82
538120,432657.2686163448,536999.31
322322,254843.93801210076,324622.92
674672,409774.0300874077,657174.17
55425,63684.26963998005,54328.46
1259725,458715.6370921992,1257387.29
141286,247765.125214044,139166.96
357918,265330.597895883,340025.58
257276,301131.9039959498,269326.19
736489,523885.62270185724,751360.64
288556,410314.5214485489,288654.77
138977,258894.0322658196,138719.99
158659,138465.59122616425,155156.42
233449,259061.55067839846,233908.88
342178,326164.86265119165,352787.51
68494,77640.35176651552,62861.36
395374,497126.9410349764,405395.75
199603,155591.50036022812,194856.15
250675,337785.0646822192,250063.83
301585,306507.73957740143,298813.11
301202,326091.1364726275,298640.98
179444,106493.12303122878,182499.99
189153,196865.27876836061,187632.87
279119,475905.88583156466,253725.49
264662,331653.44767118245,260516.0
250480,331711.8005790189,247158.25
295174,348599.99543474615,281205.392
254281,248916.36610429361,250112.19
728693,544719.2164334133,723765.36
125554,296065.1154438332,265562.51
506250,557274.451185435,502831.03
178494,324090.18285147846,181126.28
188268,190606.14122409746,189386.52
137261,138593.9039023295,135254.01
397360,456592.1492522843,398672.08
280822,487851.8389943354,284408.77
632614,576214.5713781342,610986.06
430742,377048.1315691471,430098.49
94674,49819.17174748331,97999.93
174796,178911.3797049597,162281.64
420874,386725.0839179568,427741.17
232297,328705.2082290426,237471.22
366351,331680.9114203565,379989.15
355363,404918.16244176775,360148.45
610256,429025.6949449666,392950.61
470862,460618.4494170584,483067.66
489625,357768.6194038354,494004.75
222005,242608.4281475693,219972.16
139243,201464.39520901814,139720.32
755143,487450.29675068334,762871.33
329660,317443.91519352794,342997.78
467825,387530.427808363,448886.57
287143,384530.9526782669,288255.33
131763,171891.29407651722,143420.2
373890,437929.7542729415,385243.22
183199,322218.7032156773,181620.88
205246,178604.03822703287,208342.97
391691,299353.75555691496,383717.41
165708,118815.6619965136,162524.37
489068,420406.84177296236,483437.62
225807,299225.63810027763,224296.06
146554,151934.0546291992,149431.74
403080,393589.6360506974,399988.48
243904,191417.503281001,249997.78
255883,216080.9350292422,269561.98
412969,375621.09583543986,375414.09
179034,147771.93064820394,181845.14
212152,275232.1525817141,211430.7
237854,213778.50295533612,235228.5
189470,165277.34801760316,176347.01
278445,226885.8149979785,278524.69
255270,336815.91917861253,255033.67
188039,312321.03215724975,187586.46
293936,396648.4708982967,289616.93
265336,421822.45700313523,264860.49
160992,175902.74072290957,162475.93
150960,314698.23678549007,152493.66
367053,304452.2165501006,364242.22
208038,311813.321788311,208516.63
471224,444625.93189143017,485980.91
407174,395804.05788759515,393586.99
